title,description,price
Anglesey 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Anglesey 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Anglesey 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Anglesey 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Anglesey 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Anglesey 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Anglesey Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Anglesey Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Anglesey Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Bedfordshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Bedfordshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Bedfordshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Bedfordshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Bedfordshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Bedfordshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
"Bedfordshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Bedfordshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Bedfordshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Berkshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Berkshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Berkshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Berkshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Berkshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Berkshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Berkshire Census Bundle - 1841, 1851, 1861 and 1871","This bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Berkshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Eath set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Berkshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Brecknockshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Brecknockshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Brecknockshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Brecknockshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Brecknockshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Brecknockshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
